Typical Measured Spectrum of Semrock NF03-488E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
536.6	0.96095
536.8	0.95825
537.0	0.95498
537.2	0.95304
537.4	0.95206
537.6	0.95119
537.8	0.95065
538.0	0.95142
538.2	0.95383
538.4	0.95556
538.6	0.95588
538.8	0.95593
539.0	0.95521
539.2	0.95427
539.4	0.95221
539.6	0.94896
539.8	0.94651
540.0	0.94623
540.2	0.94703
540.4	0.94754
540.6	0.94874
540.8	0.95172
541.0	0.95506
541.2	0.95736
541.4	0.95762
541.6	0.95717
541.8	0.95587
542.0	0.95369
542.2	0.9507
542.4	0.94692
542.6	0.94367
542.8	0.94327
543.0	0.94759
543.2	0.95559
543.4	0.95773
543.6	0.95842
543.8	0.95807
544.0	0.9572
544.2	0.95578
544.4	0.95309
544.6	0.94982
544.8	0.9479
545.0	0.94763
545.2	0.94945
545.4	0.95057
545.6	0.95235
545.8	0.95577
546.0	0.95958
546.2	0.9623
546.4	0.9627
546.6	0.96236
546.8	0.96042
547.0	0.95906
547.2	0.95648
547.4	0.95311
547.6	0.95012
547.8	0.94912
548.0	0.94985
548.2	0.95113
548.4	0.95226
548.6	0.95364
548.8	0.95604
549.0	0.9581
549.2	0.95891
549.4	0.95763
549.6	0.95541
549.8	0.95353
550.0	0.95139
550.2	0.94938
550.4	0.94662
550.6	0.94502
550.8	0.94588
551.0	0.94799
551.2	0.94938
551.4	0.9511
551.6	0.95326
551.8	0.95545
552.0	0.95681
552.2	0.95683
552.4	0.95486
552.6	0.95274
552.8	0.951
553.0	0.94917
553.2	0.94758
553.4	0.94602
553.6	0.9456
553.8	0.94778
554.0	0.95099
554.2	0.95348
554.4	0.95533
554.6	0.95774
554.8	0.95965
555.0	0.9608
555.2	0.96044
555.4	0.95815
555.6	0.95577
555.8	0.95395
556.0	0.95282
556.2	0.95149
556.4	0.9507
556.6	0.95127
556.8	0.95291
557.0	0.9556
557.2	0.95812
557.4	0.95977
557.6	0.96064
557.8	0.96176
558.0	0.96187
558.2	0.96106
558.4	0.95854
558.6	0.95569
558.8	0.95343
559.0	0.95255
559.2	0.95172
559.4	0.95135
559.6	0.95121
559.8	0.95253
560.0	0.95547
560.2	0.95756
560.4	0.95863
560.6	0.9593
560.8	0.95934
561.0	0.9595
561.2	0.95839
561.4	0.95639
561.6	0.9536
561.8	0.95147
562.0	0.95051
562.2	0.9508
562.4	0.95113
562.6	0.9511
562.8	0.95191
563.0	0.95394
563.2	0.95578
563.4	0.95742
563.6	0.95724
563.8	0.95634
564.0	0.9555
564.2	0.95452
564.4	0.95311
564.6	0.95087
564.8	0.94858
565.0	0.9479
565.2	0.94892
565.4	0.95076
565.6	0.95206
565.8	0.95358
566.0	0.95594
566.2	0.95891
566.4	0.96156
566.6	0.96209
566.8	0.96192
567.0	0.96063
567.2	0.95914
567.4	0.9574
567.6	0.95587
567.8	0.95388
568.0	0.95198
568.2	0.95137
568.4	0.9526
568.6	0.9546
568.8	0.95661
569.0	0.95826
569.2	0.95979
569.4	0.96223
569.6	0.96381
569.8	0.96414
570.0	0.96354
570.2	0.96137
570.4	0.95964
570.6	0.95801
570.8	0.95658
571.0	0.95595
571.2	0.95463
571.4	0.95464
571.6	0.95614
571.8	0.95841
